EMP_ID,NUM_LOGIN,NUM_CONTENTS,NUM_ACTION,TIME_LOGIN,TIME_TEST,NUM_REVISION,SCORE
S0238,2,4,17,102,0.95,2,5.5
S0239,10,11,124,100,2.15,26,6.6
S0240,5,11,73,164,2.24,11,7.5
S0241,15,11,137,105,2.3,20,5.49
S0242,14,11,168,305,1.77,45,6.31
S0243,2,10,50,69,2.09,6,8.83
S0244,3,11,46,76,2.3,2,8.43
S0245,12,11,102,93,1.26,19,5.18
S0246,8,11,81,16,1.66,14,4.86
S0247,3,11,74,117,2.22,3,7.65
S0248,17,11,111,485,2.37,2,8.7
S0249,3,11,74,240,2.15,0,7.44
S0250,10,11,122,169,2.14,1,8.89
S0251,2,10,20,23,1.55,2,4.4
S0252,1,5,5,90,0.71,0,5.5
S0253,14,11,86,379,2.09,12,8.23
S0254,12,11,126,343,2.43,25,7.3
S0255,14,11,130,407,2.16,23,7.11
S0256,6,11,76,132,1.89,13,6.7
S0257,6,11,127,183,1.86,23,7.57
S0258,3,11,78,72,1.68,16,5.6
S0259,13,11,135,234,2.21,27,6.07
S0260,18,10,198,532,2.48,4,8.42
S0261,1,4,11,8,0.95,1,3.7
S0262,8,11,77,169,2.24,13,6.68
S0263,15,11,162,372,2.03,2,6.73
S0264,9,10,96,193,2.14,17,5.75
S0265,6,11,52,60,2.08,8,5.09
S0266,18,11,132,183,2.42,20,5.94
S0267,3,11,27,41,2.18,3,5.14
S0268,3,11,39,50,1.73,7,4.78
